District,Segmentation By Estamps Rev,Estamps Challans Rev,Segmentation By Document Reg. Rev,Documents Registered Rev,Segmentation By Total Rev,Total rev
Rangareddy,High,"₹ 70,68,22,97,387",High,"₹ 69,56,32,26,936",High,"₹ 1,40,24,55,24,323"
Medchal_Malkajgiri,High,"₹ 42,34,40,75,412",High,"₹ 42,24,44,15,731",High,"₹ 84,58,84,91,143"
Hyderabad,High,"₹ 25,26,79,92,981",High,"₹ 24,97,79,02,615",High,"₹ 50,24,58,95,596"
Sangareddy,Medium,"₹ 14,78,20,41,561",Medium,"₹ 14,61,75,85,438",High,"₹ 29,39,96,26,999"
Hanumakonda,Medium,"₹ 4,95,96,70,232",Medium,"₹ 4,89,50,47,216",Medium,"₹ 9,85,47,17,448"
Yadadri Bhuvanagiri,Medium,"₹ 3,80,18,70,232",Medium,"₹ 3,78,70,70,881",Medium,"₹ 7,58,89,41,113"
Khammam,Medium,"₹ 3,64,68,44,602",Medium,"₹ 3,61,51,69,800",Medium,"₹ 7,26,20,14,402"
Karimnagar,Low,"₹ 2,63,39,77,624",Low,"₹ 2,61,91,04,284",Medium,"₹ 5,25,30,81,908"
Nizamabad,Low,"₹ 2,61,46,62,871",Low,"₹ 2,59,27,23,703",Medium,"₹ 5,20,73,86,574"
Nalgonda,Low,"₹ 2,60,00,80,824",Low,"₹ 2,58,66,36,489",Medium,"₹ 5,18,67,17,313"
Mahabubnagar,Low,"₹ 1,98,13,71,785",Low,"₹ 1,96,00,11,646",Medium,"₹ 3,94,13,83,431"
Suryapet,Low,"₹ 1,81,80,82,431",Low,"₹ 1,80,29,87,342",Medium,"₹ 3,62,10,69,773"
Siddipet,Low,"₹ 1,76,28,72,744",Low,"₹ 1,74,18,61,752",Medium,"₹ 3,50,47,34,496"
Medak,Low,"₹ 1,14,60,81,195",Low,"₹ 1,12,25,17,735",Low,"₹ 2,26,85,98,930"
Peddapalli,Low,"₹ 1,12,66,87,326",Low,"₹ 1,11,04,12,457",Low,"₹ 2,23,70,99,783"
Mancherial,Low,"₹ 1,10,59,83,406",Low,"₹ 1,08,65,38,493",Low,"₹ 2,19,25,21,899"
Jagtial,Low,"₹ 1,07,93,32,319",Low,"₹ 1,06,95,26,503",Low,"₹ 2,14,88,58,822"
Vikarabad,Low,"₹ 90,61,89,501",Low,"₹ 88,71,85,451",Low,"₹ 1,79,33,74,952"
Nagarkurnool,Low,"₹ 88,16,18,696",Low,"₹ 87,86,34,232",Low,"₹ 1,76,02,52,928"
Kamareddy,Low,"₹ 85,96,61,958",Low,"₹ 85,15,78,792",Low,"₹ 1,71,12,40,750"
Rajanna Sircilla,Low,"₹ 75,02,09,633",Low,"₹ 74,45,71,024",Low,"₹ 1,49,47,80,657"
Wanaparthy,Low,"₹ 74,62,69,937",Low,"₹ 74,38,33,686",Low,"₹ 1,49,01,03,623"
Jangoan,Low,"₹ 74,74,28,965",Low,"₹ 73,36,13,593",Low,"₹ 1,48,10,42,558"
Adilabad,Low,"₹ 72,30,03,081",Low,"₹ 72,09,26,384",Low,"₹ 1,44,39,29,465"
Mahabubabad,Low,"₹ 66,65,72,041",Low,"₹ 65,89,96,063",Low,"₹ 1,32,55,68,104"
Nirmal,Low,"₹ 63,95,57,126",Low,"₹ 63,39,40,671",Low,"₹ 1,27,34,97,797"
Jogulamba Gadwal,Low,"₹ 60,39,96,030",Low,"₹ 60,16,45,197",Low,"₹ 1,20,56,41,227"
Bhadradri Kothagudem,Low,"₹ 54,07,22,552",Low,"₹ 53,41,80,926",Low,"₹ 1,07,49,03,478"
Narayanpet,Low,"₹ 46,85,12,790",Low,"₹ 46,18,88,320",Low,"₹ 93,04,01,110"
Warangal,Low,"₹ 42,48,14,165",Low,"₹ 42,64,35,218",Low,"₹ 85,12,49,383"
Mulugu,Low,"₹ 36,93,02,299",Low,"₹ 36,49,59,327",Low,"₹ 73,42,61,626"
Kumurambheem Asifabad,Low,"₹ 13,34,20,327",Low,"₹ 13,62,57,292",Low,"₹ 26,96,77,619"
Jayashankar Bhupalpally,Low,,Low,,Low,
