Total diesel vehicles,Total electric vehicles,Total petrol vehicles,Total Vehicle Sales,district
93133,32012,976654,1143479,Hyderabad
121602,22846,840822,992377,Medchal_Malkajgiri
111061,21755,786086,926633,Rangareddy
41543,5170,221583,275327,Sangareddy
31493,3609,200091,236109,Nizamabad
44328,1016,178887,228112,Nalgonda
37384,969,177686,219843,Khammam
32524,1256,184016,219441,Warangal
32661,1067,138520,173848,Vikarabad
29752,963,138492,169952,Mahabubnagar
36488,930,125645,164007,Suryapet
31057,1902,124566,158824,Karimnagar
27885,396,117663,146785,Bhadradri Kothagudem
25756,1352,114141,142844,Siddipet
16644,580,111059,128648,Kamareddy
16428,1147,108718,126542,Jagtial
23055,533,91152,118597,Yadadri Bhuvanagiri
24542,311,81040,106143,Nagarkurnool
20583,551,76404,98686,Medak
18472,158,78294,97560,Mahabubabad
16512,523,79024,96300,Mancherial
13866,1129,79081,94505,Nirmal
15181,686,76602,92708,Peddapalli
17308,353,65806,83632,Jayashankar Bhupalpally
11764,647,66786,79317,Adilabad
10480,165,67136,77840,Jogulamba Gadwal
14519,266,59016,74289,Jangoan
13121,340,59250,72943,Wanaparthy
11754,888,59700,72476,Rajanna Sircilla
8488,139,39345,48010,Kumurambheem Asifabad
