district,Diesel Growth %
Karimnagar,219.78%
Adilabad,72.72%
Rangareddy,66.02%
Sangareddy,60.70%
Medchal_Malkajgiri,52.96%
Kumurambheem Asifabad,51.25%
Hyderabad,43.98%
Jogulamba Gadwal,35.98%
Vikarabad,34.71%
Khammam,29.41%
Nagarkurnool,29.22%
Yadadri Bhuvanagiri,28.58%
Wanaparthy,27.82%
Bhadradri Kothagudem,25.40%
Kamareddy,25.03%
Mancherial,23.16%
Nalgonda,17.18%
Nirmal,16.67%
Rajanna Sircilla,15.79%
Nizamabad,15.55%
Suryapet,14.42%
Siddipet,14.02%
Medak,12.29%
Mahabubnagar,3.56%
Peddapalli,1.56%
Jayashankar Bhupalpally,-3.12%
Jagtial,-4.99%
Jangoan,-7.00%
Mahabubabad,-9.99%
Warangal,-40.74%
