district,Electric Growth %
Mahabubabad,1266.67%
Bhadradri Kothagudem,981.82%
Khammam,945.83%
Suryapet,608.43%
Jayashankar Bhupalpally,453.49%
Jangoan,366.67%
Kumurambheem Asifabad,356.25%
Nirmal,308.62%
Rangareddy,301.71%
Hyderabad,281.70%
Karimnagar,279.74%
Nalgonda,249.70%
Peddapalli,243.52%
Sangareddy,227.63%
Medchal_Malkajgiri,223.87%
Yadadri Bhuvanagiri,212.62%
Kamareddy,205.56%
Jagtial,197.99%
Jogulamba Gadwal,190.32%
Medak,172.22%
Siddipet,169.58%
Nagarkurnool,167.86%
Warangal,146.67%
Vikarabad,139.65%
Mancherial,137.50%
Mahabubnagar,131.46%
Adilabad,128.86%
Nizamabad,123.60%
Wanaparthy,89.53%
Rajanna Sircilla,72.12%
