Sector,Investment (in Cr)
Plastic and Rubber,5855.6095
Pharmaceuticals and Chemicals,2181.6342
"Real Estate,Industrial Parks and IT Buildings",2127.2963
Solar and Other Renewable Energy,2052.985
Engineering,1877.4533
Automobile,1567.4271
R&D,1484.9027
Food Processing,1455.9435
Agro based incl Cold Storages,1263.5502
Paper and Printing,1251.3714
"Cement, Cement & Concrete Products, Fly Ash Bricks",1142.7468
Others,1040.3561
Granite and Stone Crushing,946.7192
Electrical and Electronic Products,484.4655
Beverages,476.7425
Industrial Parks and IT Buildings,280.409
Textiles,176.1469
Wood and Leather,63.9763
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",34.2244
