district,%GT Sector Investment %,sector
Adilabad,0.13%,Agro based incl Cold Storages
Adilabad,0.01%,Beverages
Adilabad,0.11%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Adilabad,0.01%,Engineering
Adilabad,0.07%,Food Processing
Adilabad,0.21%,Granite and Stone Crushing
Adilabad,0.03%,Others
Adilabad,0.01%,Paper and Printing
Adilabad,0.00%,Pharmaceuticals and Chemicals
Adilabad,0.00%,Plastic and Rubber
Adilabad,0.13%,Wood and Leather
Bhadradri Kothagudem,0.21%,Agro based incl Cold Storages
Bhadradri Kothagudem,0.03%,Beverages
Bhadradri Kothagudem,1.35%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Bhadradri Kothagudem,0.07%,Engineering
Bhadradri Kothagudem,0.35%,Food Processing
Bhadradri Kothagudem,0.24%,Granite and Stone Crushing
Bhadradri Kothagudem,0.19%,Others
Bhadradri Kothagudem,67.54%,Paper and Printing
Bhadradri Kothagudem,0.02%,Plastic and Rubber
Bhadradri Kothagudem,0.82%,Wood and Leather
Hanumakonda,0.04%,Agro based incl Cold Storages
Hanumakonda,0.01%,Beverages
Hanumakonda,0.46%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Hanumakonda,0.26%,Electrical and Electronic Products
Hanumakonda,0.26%,Engineering
Hanumakonda,0.17%,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related"
Hanumakonda,0.76%,Food Processing
Hanumakonda,1.03%,Granite and Stone Crushing
Hanumakonda,1.98%,Others
Hanumakonda,0.05%,Paper and Printing
Hanumakonda,0.03%,Pharmaceuticals and Chemicals
Hanumakonda,0.04%,Plastic and Rubber
Hanumakonda,4.44%,Solar and Other Renewable Energy
Hanumakonda,2.89%,Textiles
Hanumakonda,0.20%,Wood and Leather
Hyderabad,0.06%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Hyderabad,0.82%,Engineering
Hyderabad,0.45%,Food Processing
Hyderabad,0.07%,Textiles
Jagtial,1.06%,Agro based incl Cold Storages
Jagtial,0.10%,Beverages
Jagtial,0.27%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Jagtial,0.16%,Engineering
Jagtial,2.11%,Food Processing
Jagtial,0.19%,Granite and Stone Crushing
Jagtial,0.03%,Others
Jagtial,0.05%,Paper and Printing
Jagtial,0.00%,Pharmaceuticals and Chemicals
Jagtial,0.00%,Plastic and Rubber
Jagtial,0.13%,Textiles
Jagtial,0.72%,Wood and Leather
Jangoan,0.42%,Agro based incl Cold Storages
Jangoan,0.43%,Beverages
Jangoan,0.06%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Jangoan,0.18%,Electrical and Electronic Products
Jangoan,0.03%,Engineering
Jangoan,3.42%,Food Processing
Jangoan,0.43%,Granite and Stone Crushing
Jangoan,0.48%,Others
Jangoan,1.24%,Textiles
Jangoan,0.23%,Wood and Leather
Jayashankar Bhupalpally,0.01%,Agro based incl Cold Storages
Jayashankar Bhupalpally,0.10%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Jayashankar Bhupalpally,0.01%,Engineering
Jayashankar Bhupalpally,0.42%,Food Processing
Jayashankar Bhupalpally,0.03%,Granite and Stone Crushing
Jayashankar Bhupalpally,0.31%,Others
Jayashankar Bhupalpally,0.00%,Plastic and Rubber
Jogulamba Gadwal,0.05%,Agro based incl Cold Storages
Jogulamba Gadwal,0.03%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Jogulamba Gadwal,0.15%,Engineering
Jogulamba Gadwal,0.80%,Food Processing
Jogulamba Gadwal,0.04%,Others
Jogulamba Gadwal,0.04%,Paper and Printing
Jogulamba Gadwal,0.00%,Pharmaceuticals and Chemicals
Jogulamba Gadwal,0.01%,Plastic and Rubber
Jogulamba Gadwal,3.37%,Solar and Other Renewable Energy
Jogulamba Gadwal,2.46%,Textiles
Kamareddy,0.73%,Agro based incl Cold Storages
Kamareddy,0.00%,Beverages
Kamareddy,0.06%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Kamareddy,0.07%,Engineering
Kamareddy,5.88%,Food Processing
Kamareddy,0.15%,Granite and Stone Crushing
Kamareddy,0.01%,Others
Kamareddy,0.02%,Paper and Printing
Kamareddy,5.57%,Pharmaceuticals and Chemicals
Kamareddy,0.00%,Plastic and Rubber
Kamareddy,14.71%,Solar and Other Renewable Energy
Kamareddy,0.03%,Textiles
Kamareddy,0.79%,Wood and Leather
Karimnagar,0.47%,Agro based incl Cold Storages
Karimnagar,0.09%,Beverages
Karimnagar,0.61%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Karimnagar,0.34%,Engineering
Karimnagar,0.94%,Food Processing
Karimnagar,8.04%,Granite and Stone Crushing
Karimnagar,3.45%,Others
Karimnagar,0.02%,Paper and Printing
Karimnagar,0.00%,Pharmaceuticals and Chemicals
Karimnagar,0.01%,Plastic and Rubber
Karimnagar,0.01%,"Real Estate,Industrial Parks and IT Buildings"
Karimnagar,0.06%,Textiles
Karimnagar,1.86%,Wood and Leather
Khammam,5.97%,Agro based incl Cold Storages
Khammam,3.30%,Beverages
Khammam,0.92%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Khammam,0.03%,Electrical and Electronic Products
Khammam,0.26%,Engineering
Khammam,0.14%,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related"
Khammam,2.91%,Food Processing
Khammam,3.06%,Granite and Stone Crushing
Khammam,0.73%,Others
Khammam,0.19%,Paper and Printing
Khammam,0.16%,Pharmaceuticals and Chemicals
Khammam,0.02%,Plastic and Rubber
Khammam,0.34%,Textiles
Khammam,5.60%,Wood and Leather
Kumurambheem Asifabad,0.04%,Beverages
Kumurambheem Asifabad,0.17%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Kumurambheem Asifabad,0.02%,Electrical and Electronic Products
Kumurambheem Asifabad,0.09%,Engineering
Kumurambheem Asifabad,0.30%,Food Processing
Kumurambheem Asifabad,0.08%,Granite and Stone Crushing
Kumurambheem Asifabad,0.00%,Others
Kumurambheem Asifabad,0.03%,Pharmaceuticals and Chemicals
Mahabubabad,0.85%,Agro based incl Cold Storages
Mahabubabad,0.02%,Beverages
Mahabubabad,0.25%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Mahabubabad,0.06%,Engineering
Mahabubabad,0.16%,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related"
Mahabubabad,2.93%,Food Processing
Mahabubabad,1.52%,Granite and Stone Crushing
Mahabubabad,0.27%,Others
Mahabubabad,0.08%,Textiles
Mahabubabad,2.17%,Wood and Leather
Mahabubnagar,1.99%,Agro based incl Cold Storages
Mahabubnagar,0.99%,Beverages
Mahabubnagar,1.94%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Mahabubnagar,2.88%,Electrical and Electronic Products
Mahabubnagar,1.94%,Engineering
Mahabubnagar,2.03%,Food Processing
Mahabubnagar,13.97%,Granite and Stone Crushing
Mahabubnagar,16.17%,Others
Mahabubnagar,0.13%,Paper and Printing
Mahabubnagar,3.20%,Pharmaceuticals and Chemicals
Mahabubnagar,0.97%,Plastic and Rubber
Mahabubnagar,5.95%,R&D
Mahabubnagar,46.56%,Solar and Other Renewable Energy
Mahabubnagar,19.86%,Textiles
Mahabubnagar,16.94%,Wood and Leather
Mancherial,0.03%,Agro based incl Cold Storages
Mancherial,0.02%,Beverages
Mancherial,0.48%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Mancherial,0.10%,Engineering
Mancherial,0.43%,Food Processing
Mancherial,0.32%,Granite and Stone Crushing
Mancherial,0.05%,Others
Mancherial,0.01%,Pharmaceuticals and Chemicals
Mancherial,0.03%,Plastic and Rubber
Mancherial,7.16%,Solar and Other Renewable Energy
Mancherial,0.33%,Textiles
Medak,0.21%,Agro based incl Cold Storages
Medak,0.46%,Beverages
Medak,0.55%,"Cement, Cement & Concrete Products, Fly Ash Bricks"
